symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSLA,2016-05-05 00:00:00+00:00,211.53,228.64,209.79,228.46,11254827,211.53,228.64,209.79,228.46,11254827,0.0,1.0
TSLA,2016-05-06 00:00:00+00:00,214.93,216.37,208.11,210.87,5685237,214.93,216.37,208.11,210.87,5685237,0.0,1.0
TSLA,2016-05-09 00:00:00+00:00,208.92,216.15,206.8,215.72,4776383,208.92,216.15,206.8,215.72,4776383,0.0,1.0
TSLA,2016-05-10 00:00:00+00:00,208.69,209.47,205.0,207.55,4070617,208.69,209.47,205.0,207.55,4070617,0.0,1.0
TSLA,2016-05-11 00:00:00+00:00,208.96,215.48,206.05,207.59,5161864,208.96,215.48,206.05,207.59,5161864,0.0,1.0
TSLA,2016-05-12 00:00:00+00:00,207.28,211.67,203.6572,211.44,3650475,207.28,211.67,203.6572,211.44,3650475,0.0,1.0
TSLA,2016-05-13 00:00:00+00:00,207.61,211.2,206.7,207.78,2822781,207.61,211.2,206.7,207.78,2822781,0.0,1.0
TSLA,2016-05-16 00:00:00+00:00,208.29,213.15,207.92,208.15,2949396,208.29,213.15,207.92,208.15,2949396,0.0,1.0
TSLA,2016-05-17 00:00:00+00:00,204.66,209.8199,204.02,209.05,2843597,204.66,209.8199,204.02,209.05,2843597,0.0,1.0
TSLA,2016-05-18 00:00:00+00:00,211.17,215.31,207.75,209.15,5617519,211.17,215.31,207.75,209.15,5617519,0.0,1.0
TSLA,2016-05-19 00:00:00+00:00,215.21,216.79,207.3,213.62,6866321,215.21,216.79,207.3,213.62,6866321,0.0,1.0
TSLA,2016-05-20 00:00:00+00:00,220.28,220.55,216.35,216.99,9007076,220.28,220.55,216.35,216.99,9007076,0.0,1.0
TSLA,2016-05-23 00:00:00+00:00,216.22,222.6,215.86,219.87,5102479,216.22,222.6,215.86,219.87,5102479,0.0,1.0
TSLA,2016-05-24 00:00:00+00:00,217.91,218.74,215.18,216.6,3013843,217.91,218.74,215.18,216.6,3013843,0.0,1.0
TSLA,2016-05-25 00:00:00+00:00,219.58,221.36,216.51,217.91,3132615,219.58,221.36,216.51,217.91,3132615,0.0,1.0
TSLA,2016-05-26 00:00:00+00:00,225.12,225.26,219.05,220.5,4072424,225.12,225.26,219.05,220.5,4072424,0.0,1.0
TSLA,2016-05-27 00:00:00+00:00,223.04,225.93,220.75,224.99,3650272,223.04,225.93,220.75,224.99,3650272,0.0,1.0
TSLA,2016-05-31 00:00:00+00:00,223.23,224.7497,221.5001,223.04,2789002,223.23,224.7497,221.5001,223.04,2789002,0.0,1.0
TSLA,2016-06-01 00:00:00+00:00,219.56,222.4,216.89,221.48,2982695,219.56,222.4,216.89,221.48,2982695,0.0,1.0
TSLA,2016-06-02 00:00:00+00:00,218.96,219.909,217.11,219.59,2032832,218.96,219.909,217.11,219.59,2032832,0.0,1.0
TSLA,2016-06-03 00:00:00+00:00,218.99,221.94,218.01,220.0,2228970,218.99,221.94,218.01,220.0,2228970,0.0,1.0
TSLA,2016-06-06 00:00:00+00:00,220.68,220.9,215.45,218.0,2249508,220.68,220.9,215.45,218.0,2249508,0.0,1.0
TSLA,2016-06-07 00:00:00+00:00,232.34,234.44,221.52,222.24,6213573,232.34,234.44,221.52,222.24,6213573,0.0,1.0
TSLA,2016-06-08 00:00:00+00:00,235.52,240.845,232.605,233.8,5971995,235.52,240.845,232.605,233.8,5971995,0.0,1.0
TSLA,2016-06-09 00:00:00+00:00,229.36,235.33,227.06,234.98,4492075,229.36,235.33,227.06,234.98,4492075,0.0,1.0
